recipe_name;image;time;calories;portions;ingredients;process
Бифарше (запеканка из картофельного пюре и куриного фарша);https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130805160644/130813151854/p_O.jpg;40;495;5;"Картофель:1 кг;Куриный фарш:500 г;Лук:1 головка;Помидоры:1 штука;Молоко:50 мл;Сливочное масло:50 г;Тертый сыр пармезан :100 г;Растительное масло:по вкусу;Куриное яйцо:1 штука;Соль:по вкусу;";Картофель моем, очищаем от кожуры, заливаем водой и ставим на огонь для приготовления картофельного пюре. Солим по вкусу. Отвариваем до полной готовности. Сливаем воду, перетираем в пюре, добавляем молоко и сливочное масло. Все тщательно взбиваем до воздушной массы.Фарш перекручиваем с луком в мясорубке, приправляем солью, добавляем перетертый помидор и обжариваем до готовности на растительном масле. Сыр натираем на терке, высыпаем в отдельную тарелку.Остывшее картофельное пюре укладываем на дно формы, смазанной растительным маслом, следующим слоем выкладываем обжаренный фарш, посыпаем натертым сыром, начинку накрываем слоем пюре.Яйцо разбиваем в небольшую миску, взбиваем и смазываем им запеканку.Отправляем запеканку в разогретую до 180 градусов духовку на 30 минут.Подавать можно со сметаной и зеленью (по желанию).
Крамбл из сливы;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/110825150222/150615140254/p_O.jpg;30;562;6;"Пшеничная мука:200 г;Сливочное масло:150 г;Сахар:100 г;Сливы:1000 г;Овсяные хлопья:200 г;Корица:½ чайные ложки;";Холодное масло смешать с мукой и сахаром в комковатое песочное тесто, добавить овсяные хлопья и тоже перемешать. Выложить тесто на пекарскую бумагу и запечь в духовке, разогретой до 170 градусов, в течение десяти минут.Сливы разрезать пополам, извлечь косточки и выложить в форму, посыпать корицей, сверху накрошить тесто из муки, сахара, масла и овсяных хлопьев. Поставить в духовку, разогретую до 170 градусов, на пятнадцать-двадцать минут.
Фахитас с курицей;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/150224210655/160226164609/p_O.jpg;25;512;4;"Свежая кинза (кориандр):1 пучок;Красный сладкий перец:1 штука;Красный лук:1 головка;Куриная грудка:2 штуки;Копченая паприка:1 чайная ложка;Молотый кумин (зира) :щепотка;Лайм:4 штуки;Оливковое масло IDEAL:по вкусу;Молотый черный перец:по вкусу;Тортильи:4 штуки;Натуральный йогурт:150 мл;Сыр чеддер:50 г;Перец чили:1 штука;Помидоры черри:25 штук;Соль:по вкусу;Авокадо:1 штука;";Перец разрезать пополам, очистить от семечек и тонко нарезать. Мелко нарезать лук. Курицу нарезать полосками так, чтобы по размеру они напоминали полоски перца.В миске смешать перец, лук и курицу с паприкой и зирой. Выжать сок половины лайма, сбрызнуть оливковым маслом, поперчить и как следует все перемешать. Дать замариноваться в течение 5­-10 минут.Для сальсы: тонко нарезать половину чили перца. Грубо нарезать половину помидоров черри и две трети пучка кинзы. Перемешать все в отдельной миске, посолив и поперчив. Влить сок 1 лайма.Разогреть сковороду гриль на сильном огне. Обжарить курицу с овощами до золотистого цвета (6­-8 минут). Важно постоянно переворачивать содержимое сковороды, иначе все тут же подгорит.Сделать гуакомоле: ­ раздавить оставшиеся помидоры черри на доске, тонко нарезать вторую половину перца чили и кинзу (не только листочки, но стебли). Разделить авокадо пополам, выжать мякоть на доску к помидорам, зелени и черри, грубо порубить. Посолить и поперчить по необходимости.Разогреть тортильи в духовке при 60 градусах в течение 5 минут. Выжать сок из оставшейся половины лайма на курицу с овощами. Натереть чеддар на терке. Выложить в тортилью курицу с овощами, гуакомоле, сальсу, йогурт и сыр. Для большой компании все ингредиенты можно просто поставить на стол, чтобы каждый сам собрал себе фахиту.
Жюльен с курицей и шампиньонами;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131085824/140418150820/p_O.jpg;120;320;6;"Куриное филе:500 г;Свежие шампиньоны:300 г;Репчатый лук:2 штуки;Сыр:200 г;Пшеничная мука:2 столовые ложки;Сливки:300 мл;";Куриное филе отварить до готовности, когда остынет, нарезать мелкими кубиками.Грибы нарезать, выложить на сковороду, немного пожарить.Лук мелко нарезать, добавить к грибам, пожарить до готовности.Добавить филе, посолить, поперчить, перемешать, снять с огня.На сухой сковороде слегка обжарить муку. Добавить сливки, посолить, поперчить. Довести до кипения.Добавить курицу с грибами, перемешать, снять с огня.Разложить полученную массу в кокотницы, сверху посыпать тертым сыром. Запекать в духовке до золотистой корочки при температуре 180 градусов (около 30 минут).
Картофельное пюре по рецепту Жоэля Робюшона;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/131215224100/160323125043/p_O.jpg;120;1159;4;"Картофель:1 кг;Сливочное масло:500 г;Соль:по вкусу;Молотый черный перец:по вкусу;Молоко:150 мл;";Картофель отварить. Далее остудить и снять кожу. Протереть. Протертый картофель выложить в сотейник на очень маленький огонь.Добавить ледяное, предварительно замороженное при температуре минус 25 градусов сливочное масло, нарезанное кубиками и вмешать его в картофель, не снимая с огня.Когда все масло растворится в картофеле, снять сотейник с огня, влить молоко. Затем посолить и поперчить по вкусу.
Соленые лимоны;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082342/150615152122/p_O.jpg;10;127;12;"Лимон:1 кг;Черный перец горошком:1 чайная ложка;Лавровый лист:3 штуки;Соль:300 г;Оливковое масло:150 мл;";Лимоны (лучше брать не очень крупные, чтобы проще было засовывать их в банку) вымыть, сделать на них надрезы — так, как будто режем их на шесть частей, но не дорезаем до конца.Из двух надрезанных лимонов сначала руками выжать сок в литровую банку, а затем уложить в нее все лимоны (выжатые в том числе), добавить соль, перец, лавровый лист и залить все оливковым маслом.Выдерживать лимоны нужно не меньше месяца, а затем их можно добавлять в любые несладкие блюда, например, в тушеное мясо, а само масло добавлять в салаты.
Рыба с овощами по-провански;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213180046/120213190016/p_O.jpg;30;236;4;"Оливковое масло extra virgin:3 столовые ложки;Белое сухое вино:2 столовые ложки;Чеснок:1 зубчик;Маслины без косточек:6 штук;Рубленая петрушка:1 столовая ложка;Морская соль:½ чайные ложки;Дижонская горчица:½ чайные ложки;Свежемолотый черный перец:¼ чайные ложки;Филе белой рыбы:360 г;Помидоры черри:10 штук;Зеленая стручковая фасоль:16 штук;Красный лук:¼ головки;";Разогрейте духовку до 220 градусов.В миске смешайте оливковое масло, белое вино, измельченный чеснок, мелко нарезанные маслины, петрушку, горчицу, соль и перец.Возьмите 2 листа фольги на каждый выложите по половине зеленой фасоли, предварительно срезав кончики, и разрезанные пополам черри.На овощи сверху положите по куску рыбы и сбрызните приготовленной заправкой. Сверху выложите нарезанный тонкими кольцами лук.Плотно заверните фольгу и положите на противень. Отправьте в духовку на 16 минут.Аккуратно откройте фольгу и переложите рыбу и овощи на сервировочные тарелки. Полейте вытопившимися соками. Посыпьте морской солью и свежемолотым черным перцем, слегка сбрызните оливковым маслом и подавайте.
Кефтедес;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/141006174525/141020025814/p_O.jpg;30;532;6;"Сушеная мята:1 столовая ложка;Оливковое масло IDEAL:100 мл;Сушеный орегано:2 столовые ложки;Молотая корица:¼ чайные ложки;Молотый мускатный орех:¼ чайные ложки;Кайенский перец:0,1 чайных ложек;Красный лук:1 головка;Куриное яйцо:1 штука;Яичный желток:1 штука;Молоко:250 мл;Белый хлеб:2 куска;Пшеничная мука:80 г;Свиной фарш:450 г;Чеснок:4 зубчика;Томатная паста :1,5 столовых ложек;Лавровый лист:2 штуки;Лимонный сок:1 столовая ложка;Говяжий бульон:250 мл;Помидоры в собственном соку:800 г;Петрушка:30 г;Соль:по вкусу;Молотый черный перец:по вкусу;";В миске смешать мяту, 2 столовые ложки масла, столовую ложку орегано, по 1/8 чайной ложки корицы и мускатного ореха, кайенский перец, мелко натертый красный лук, яйцо и желток. Посолить и поперчить.С хлеба срезать корку и залить молоком на пять минут. Затем отжать и добавить к луку и специям, туда же отправить фарш.Смешать и слепить 20 одинаковых шариков. Затем слегка расплющить и придать форму котлеток. Обвалять в муке.В глубокой сковороде разогреть 50 мл оливкового масла.Пожарить котлетки по шесть минут со всех сторон. Переложить на бумажные полотенца.Оставшееся масло разогреть в сковороде, добавить измельченный чеснок и жарить минуту. Добавить томатную пасту и лаврушку. Консервированные помидоры без шкурки взбить в пюре и влить в сковороду, ­добавить оставшиеся специи и бульон. Варить на среднем ­огне, помешивая, двадцать ­минут.Посолить, поперчить и влить лимонный сок. Выложить в соус котлетки, слегка прогреть и подавать, посыпав петрушкой.
Гречневая лапша с яйцами и сыром тофу;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130713154821/130904121248/p_O.jpg;10;663;4;"Гречневая лапша :500 г;Тофу:100 г;Куриное яйцо:2 штуки;Кунжутное масло:50 мл;Соевый соус:2 столовые ложки;Рисовый уксус:50 мл;Тростниковый сахар:1 столовая ложка;Перец чили:1 штука;Красный лук:1 головка;";Сварить вкрутую яйца, а лапшу отварить до состояния аль-денте (поварив ее на минуту меньше, чем указано на упаковке) и промыть холодной водой.В разогретой сковороде вок обжарить нарезанный полукольцами лук на кунжутном масле. Добавить соевого соуса, уксуса, сахара и тушить соус примерно минуту на медленном огне.Яйца очистить от скорлупы и нарезать кубиками. Соевый творог тоже нарезать кубиками.Промытую лапшу переложить в сковороду и тщательно перемешать с соусом. Потом всыпать в сковороду все остальные подготовленные компоненты: яйца, творог и нарезанный кольцами перец чили. Еще раз все перемешать, выключить огонь и дать лапше настояться минуту под крышкой.
Грушевый салат с рукколой и овечьим сыром;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214125956/120214130114/p_O.jpg;25;394;2;"Рукола:150 г;Груши «конференц»:2 штуки;Китайские груши:2 штуки;Лимон:1 штука;Белое сухое вино:150 мл;Тростниковый сахар:1 чайная ложка;Кедровые орехи:25 г;Масло из виноградных косточек:по вкусу;Молотый черный перец:по вкусу;Морская соль:по вкусу;Овечий сыр:50 г;";Нежно промыть листья рукколы в холодной воде, просушить в центрифуге.Помыть груши, очистить от кожуры. Разрезать на четверти сверху вниз, удалить сердцевину и корень черенка. Каждую четверть разрезать поперёк, получившиеся части порезать вдоль на фрагменты в полсантиметра. Сбрызнуть соком лимона.Разогреть сковороду, влить вино так, чтобы оно закрывало поверхность на сантиметр. Когда вино нагреется, добавить тростниковый сахар и полностью его растворить. Дать вину выпариться наполовину.Выложить «Конференц» в сковороду. Аккуратно помешивая, готовить на сильном огне, пока вино почти полностью не испарится, а груши не потемнеют и станут мягкими.Нарезать сыр на тонкие пластинки.Выложить рукколу на сухие тарелки. Сверху — груши «Конференц», свежие «Китайские», сыр. Пролить маслом и обрызгать лимонным соком. Посыпать кедровыми орехами, попробовать и при необходимости добавить перец и соль.
Ароматная свинина в духовке;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/121220162751/130102014334/p_O.jpg;75;404;5;"Свинина:1 кг;Оливковое масло:3 столовые ложки;Молотый сушеный чеснок:1 чайная ложка;Розмарин:1 штука;Лимонная цедра:1 штука;Морская соль:1 чайная ложка;Черный перец горошком:1 чайная ложка;Молотый кориандр :1 чайная ложка;";В ступке растереть розмарин перцем и солью.Добавить цедру, чеснок, кориандр и оливковое масло (если нет сушеного чеснока, можно выдавить пару зубчиков). Хорошо перемешать.Свинину промыть, просушить. Если есть слой жира — ножом сделать надрезы в виде сеточки. Натереть свинину пряной смесью.Мясо завернуть в пищевую пленку и положить на 2 часа в холодильник.За 2 часа до запекания достать и держать при комнатной температуре.Разогреть духовку до 200 градусов. Размотать свинину и переложить в рукав для запекания, тщательно закрыть. Сделать несколько проколов. Запекать в разогретой духовке 15 минут.Уменьшить температуру до 170 градусов и печь до готовности, приблизительно час.На гарнир отдельно можно смешать овощи (брокколи по соцветиям, кабачки, перец сладкий, грибы и помидоры черри) с оливковым маслом и специями и высыпать на противень, когда мясу останется печься 35–40 минут.
Бананово-грушевый смузи;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213181523/120213181730/p_O.jpg;10;363;2;"Груши:2 штуки;Бананы:3 штуки;Стебель сельдерея:2 штуки;";Подготовить все ингредиенты.В блендере смешать бананы, груши и сельдерей с 1 стаканом воды.Взбивать до однородного состояния.
Буррито с жареными овощами и песто;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175134/140313145851/p_O.jpg;25;417;4;"Тортильи:4 штуки;Ростки люцерны:40 г;Помидоры:100 г;Красный лук:20 г;Огурцы:100 г;Сладкий перец:1 штука;Цукини:200 г;Батат:150 г;Кунжут:3 г;Оливковое масло extra virgin:10 мл;Оливковое масло:1 столовая ложка;Смесь салатных листьев:100 г;Постный майонез:100 г;Песто:100 г;";Обжарить на гриле с добавлением масла сладкий перец, нарезанный кружками цукини (толщина — примерно полтора сантиметра) и батат (его нарезать на дольки толщиной сантиметр) — с двух сторон до готовности. После чего нарезать все крупной соломкой.Огурцы и помидоры нарезать средними кубиками, лук — ­мелко.Нагреть тортильи на сковородке, чтобы стали эластичными. Намазать их песто. Выложить часть салатных листьев (лоло-россо, латук, корн, руккола, мангольд), помидоры, огурцы, лук, жареные овощи. Добавить майонез (лучше всего домашний) и ростки люцерны (или любые другие по вкусу).Загнуть края лепешек, после чего скрутить их в буррито. Обжарить с двух сторон на сковороде гриль.Подавать с салатными листьями, посыпав кунжутом и добавив по паре капель оливкового масла extra virgin.
Вафли классические из СССР;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131090114/180115161758/p_O.jpg;15;473;8;"Куриное яйцо:3 штуки;Молоко:1,5 стаканов;Маргарин:200 г;Сахар:1 стакан;Пшеничная мука:2 стакана;Соль:щепотка;Сода:на кончике ножа;Ванилин:на кончике ножа;";Маргарин растопить в емкости, в которой позже будут смешиваться остальные ингредиенты. Емкость желательно брать достаточно просторную, чтобы затем тесто удобно было взбивать.Добавить в маргарин яйца и сахар, хорошенько перемешать.Добавить муку и молоко, соль, соду и ванилин. Молока можно добавить чуть более 1,5 стакана. Важно, чтобы по консистенции тесто было достаточно жидким, чтобы разливаться по вафельнице. Хорошо взбить миксером.Нагреть вафельницу и выпекать вафли до золотистого цвета с оттенками молочного шоколада. (Я при перед первой вафлей всегда дополнительно смазываю нагревательные поверхности кисточкой с подсолнечным маслом).Свежую вафлю можно свернуть в трубочку, рожок или просто сделать слоеный торт, смазав листы кремом или медом. Вафле необходимо придать форму сразу после выпечки, иначе она застынет и начнет ломаться. Будьте осторожны, горячо!
Похлебка из гороха маш с мятой;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130829212936/130904171151/p_O.jpg;40;204;8;"Репчатый лук:100 г;Помидоры:300 г;Морковь:200 г;Горох маш:300 г;Растительное масло:50 мл;Петрушка:50 г;Чеснок:6 зубчиков;Свежая мята:50 г;Соль:по вкусу;Молотый черный перец:по вкусу;";"На растительном масле обжарить лук и морковь, предварительно их мелко нарезав.Очищенные от кожи помидоры (проще всего очистить, сделав на кожице крестообразные надрезы и бросив на пару минут в кипящую воду; кожица слезает практически сама) мелко нарубить и обжаривать две минуты вместе с луком и морковью — можно в сковороде, а можно и в той кастрюле, в которой вы будете варить суп. Если дно у нее не подгорает, а бока не слишком высокие и не затрудняют процесс ­помешивания.Влить в кастрюлю с обжаренными овощами три литра воды, ­довести до кипения и засыпать два стакана гороха маш. Варить тридцать минут.Посолить, попер­чить, попробо­вать. Убедиться, что все в порядке и снять с огня.После чего добавить мелко нарубленный чеснок и петрушку. Разливая по тарелкам, добавить в каждую тарелку щепотку мелко нарубленной мяты."
Крем-суп грибной;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130410124428/130425121447/p_O.jpg;40;250;4;"Свежие грибы:500 г;Говяжий бульон:1 л;Сливочное масло:50 г;Пшеничная мука:2 столовые ложки;Сливки 10%-ные:250 мл;Чеснок:1 зубчик;Соль:по вкусу;Молотый черный перец:по вкусу;";Приготовить мясной бульон.Грибы нарезать не очень тонкими пластинками, переложить в сковороду и жарить на подсолнечном масле под крышкой на среднем огне около 15 минут, периодически помешивая, посолив и поперчив.Затем аккуратно переложить грибы вместе с образовавшейся жидкостью в кастрюлю с кипящим бульоном. Варить 10–15 минут.В ковшике или сотейнике растопить масло и поджарить на нем мелко рубленный чеснок до появления характерного запаха. Всыпать муку по ложке, тщательно перемешивая загустевающую массу, затем медленно влить сливки. Перемешивая венчиком, не давая образоваться комочкам, варить на медленном огне до образования густого соуса. Если соус получился очень густым, можно добавить несколько ложек бульона.Перелить бульон с грибами и белый соус в блендер, взбить до образования однородной массы.Вернуть суп в кастрюлю и довести до кипения, добавив соль, перец и специи по вкусу.
Табуле;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/110811170903/170210151218/p_O.jpg;40;243;6;"Соль:по вкусу;Петрушка:250 г;Лимон:4 штуки;Помидоры:4 штуки;Оливковое масло:100 мл;Свежая мята:50 г;Булгур:50 г;Зеленый лук с луковицей:4 штуки;";Булгур отварить в подсоленной воде и дать ему остыть.Помидоры избавить от семечек (кожицу можно оставить), иначе в процессе настаивания с лимонным соком помидорная мякоть превратится в кашу. Нарезать крупным кубиком.Петрушку, помидоры, лук и мяту мелко нарубить.Смешать зелень и помидоры с булгуром, соком лимонов и оливковым маслом — и дать настояться в холодильнике примерно полчаса.
Кабачковые оладьи с лимонной цедрой и полентой;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/160812092111/160817113846/p_O.jpg;20;214;2;"Кабачки:300 г;Куриное яйцо:1 штука;Полента:50 г;Пшеничная мука:30 г;Лимон:1 штука;Соль:по вкусу;";Кабачок натереть на крупной терке и посолить. Спустя 5 минут отжать сок при помощи нетканых полотенец.Смешать вилкой кабачок, яйцо, муку, поленту и цедру 1 лимона.Сформировать и пожарить оладьи на растительном масле с обеих сторон. Подавать со сметаной или сливочным сыром.
Тефтели с брусничным соусом, маринованным огурцом и коричневым соусом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/160904132102/160915173507/p_O.jpg;90;1057;4;"Смешанный фарш:500 г;Молоко:250 мл;Панировочные сухари:150 г;Куриное яйцо:1 штука;Репчатый лук:1 головка;Сливочное масло:50 г;Растительное масло:100 мл;Свежемороженая брусника:250 г;Сахар:150 г;Огурцы:1 штука;Соль:1,5 столовых ложек;Уксус 9%-ный:2 столовые ложки;Петрушка:30 г;Вода:100 мл;Молотый черный перец:по вкусу;Сливки:100 мл;";Огурец нарезать тонкими кольцами, посолить огурец, выложить на дуршлаг и положить сверху пресс. Дать огурцу стечь тридцать минут.Смешать столовую ложку соли, три столовых ложки сахара, уксус, воду и мелко нарезанную петрушку. Залить огурец маринадом. Дать настояться в холодильнике около часа.Мелко нарезанный репчатый лук пассеровать до мягкости в небольшом количестве масла. Залить сухари молоком.Смешать мясной фарш с луком, яйцом, смесью молока и сухарей и специями в кухонном комбайне. Если фарш получился слишком густой, можно добавить немного воды.Сформировать маленькие шарики и выложить их на тарелки, сбрызнутые водой.Обжарить тефтели со всех сторон до образования корочки, на раскаленной сковороде в большом количестве смеси растительного и сливочного масла.Для брусничного соуса перемешать замороженные ягоды со 100 граммами сахара. Дать ягодам оттаять и сахару раствориться. Перемешать перед подачей.Поджарить сливочное масло в маленьком сотейнике до легкого румяного цвета, насыпать муки и обжарить, непрерывно помешивая. Налить бульон и сливки, варить три-пять минут. Посолить и поперчить. Тефтели подавать с картофельным пюре, брусничным и коричневым соусами и маринованным огурцом.
Салат из свеклы, запеченной тыквы и авокадо;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130128172303/170222122344/p_O.jpg;60;626;3;"Сладкая свекла (отварная, нарезанная соломкой) «Белая дача»:500 г;Молодой шпинат «Белая Дача»:75 г;Авокадо:2 штуки;Тыква:300 г;Кедровые орехи:30 г;Оливковое масло:30 мл;Бальзамический уксус:20 мл;Лимон:½ штуки;Бальзамический крем:по вкусу;Молотый черный перец:по вкусу;Соль:по вкусу;";Тыкву крупно нарезать, сбрызнуть оливковым маслом и отправить в духовку, разогретую до 180 градусов, на сорок-пятьдесят минут.Кедровые орехи обжарить на сухой сковороде.Отваренную и нарезанную соломкой свеклу перемешать с каплей оливкового масла и бальзамического уксуса.Печеную тыкву натереть на крупной терке, добавить к ней оливковое масло соль, перец и половину орехов.Авокадо избавить от косточки и кожи, натереть на крупной терке. Затем смешать с соком половинки лимона, каплей оливкового масла, солью и перцем.На тарелку выложить листья шпината, на них через кулинарное кольцо выложить слоями подготовленные овощи: сначала свекла, затем тыква, снова свекла и слой авокадо сверху. Посыпать салат кедровыми орехами и украсить бальзамическим кремом.
Куриные котлеты «Нежные»;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131090009/120213175354/p_O.jpg;30;486;4;"Репчатый лук:1 штука;Куриная грудка:750 г;Майонез:150 г;Пшеничная мука:2 столовые ложки;";Куриные грудки нарезаем кубиками, заливаем майонезом, кладем мелко нарезанный и обжаренный лук, приправу для курицы. Ставим в холодильник мариноваться на 1–2 часа. Потом добавляем муку, хорошо перемешиваем.Жарить, выкладывая ложкой на сковороду, как оладьи.
Кокосовое печенье;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120911101012/140616195917/p_O.jpg;25;480;6;"Кокосовая стружка:2 стакана;Сахар:½ стакана;Пшеничная мука:1 столовая ложка;Сливочное масло:60 г;Яичный желток:2 штуки;Куриное яйцо:1 штука;";Разогреть духовку до 180 градусов. Смешать в миске кокосовую стружку (лучше взять сладкую, но можно и простую), сахар, муку, растопленное сливочное масло, желтки и одно целое яйцо.Смочить руки водой, чтобы масляно-сахарная смесь не приставала к пальцам, и слепить из получившегося теста одинаковые шарики размером примерно с грецкий орех.Выложить на противень, покрытый бумагой для выпечки. Выпекать печенье пятнадцать минут до золотистого цвета.
Яйца по-шотландски;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/150404084133/150409182039/p_O.jpg;60;852;6;"Куриное яйцо:7 штук;Купаты:900 г;Вустерширский соус:1 столовая ложка;Кукурузный крахмал:1 чайная ложка;Английская горчица:1 столовая ложка;Молотый мускатный орех:5 г;Листья шалфея:2 штуки;Тимьян:2 стебля;Соль:по вкусу;Молотый черный перец:по вкусу;Растительное масло:по вкусу;Молоко:50 мл;Пшеничная мука:80 г;Панировочные сухари панко:350 г;";Шесть яиц залить водой в сотейнике, довести до кипения, после чего снять с огня и оставить в горячей воде на 6 минут. Затем переложить в миску с ледяной водой, оставить еще на пять минут, после чего очистить от скорлупы.Извлечь фарш из оболочки. Смешать его с горчицей, крахмалом, мускатным ­орехом и измельченными ­тимьяном и шалфеем. Разделить на 6 равных частей, размять каждую в лепешку и обернуть вокруг каждого яйца. Выложить на блюдо и отправить в холодильник на полчаса.В большой сковороде разогреть масло до 180 градусов. Оставшееся яйцо взбить с молоком в небольшой миске, в отдельную емкость насыпать муку и сухари, перемешать. По очереди окунуть котлетки в яичную смесь, а затем обвалять в сухарях, после чего поджарить в масле в течение 7 минут до золотистой корочки. Подавать с вустерширским соусом.
Тортилья (испанский омлет);https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120705181646/120723022334/p_O.jpg;40;362;4;"Картофель:280 г;Репчатый лук:120 г;Куриное яйцо:5 штук;Помидоры:1 штука;Зеленый горошек:1 стакан;Оливковое масло:3 столовые ложки;Соль:по вкусу;";Картофель почистить, разрезать на половинки и нарезать очень тонко. Посыпать солью.Почистить лук, разрезать на половинку и мелко порубить.Острым ножом нарезать помидоры.Влить 2 столовые ложки оливкового масла в сковородку. Разогреть на среднем огне.Добавить картофель и обжарить его в течение 5 минут, постоянно помешивая.Добавить лук и хорошо перемешать. Накрыть сковородку крышкой и уменьшить огонь. Периодически помешивать.Яйца разбить в большую миску и взбить вилкой, так чтобы смешать желтки и белки.Добавить соль и перец.Когда картофель и лук будут готовы, добавить их в миску с яйцами.Добавить помидоры и горошек.Добавить оставшуюся ложку оливкового масла в сковородку и разогреть на среднем огне, приблизительно 1 минуту.Влить смесь яиц и овощей в сковородку. Уменьшить огонь. Готовить на самом слабом огне 15 минут.Когда почти вся жидкость на поверхности омлета испарится, перевернуть его на другую сторону и готовить еще 5 минут.Подавать горячим.
Кубинский салат с курицей и авокадо;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131112204/180314142559/p_O.jpg;20;859;2;"Куриное филе:1 штука;Лайм:2 штуки;Авокадо:1 штука;Апельсины:1 штука;Красный лук:1 головка;Свежая мята:10 г;Оливковое масло:90 мл;Салат романо «Белая Дача»:150 г;Соль:по вкусу;Сахар:по вкусу;Молотый черный перец:по вкусу;";Курицу нарезать тонкими ломтиками и замариновать в соке лайма с солью и перцем в течение 5–10 минут. Обжарить на растительном масле до золотистого цвета.Апельсин очистить ножом, срезая все белые части, затем вырезать дольки, избегая пленок. Лук нарезать толстой соломкой, авокадо разрезать пополам, извлечь косточку, при помощи ложки избавить половинки авокадо от кожи и нарезать дольками.Смешать сок лайма с измельченной мятой, 60 мл масла, сахаром, солью и перцем при помощи венчика.Смешать романо, курицу, авокадо и филе апельсина с лаймовой заправкой и тут же подавать.
Окрошка на квасе;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/140408181639/140414201959/p_O.jpg;30;252;11;"Хлебный квас:1,5 л;Картофель:500 г;Вареная колбаса:300 г;Куриное яйцо:3 штуки;Редис:200 г;Зелень:по вкусу;Сметана:500 г;Огурцы:300 г;Соль:по вкусу;Сладкий перец:1 штука;";Картофель отварить до готовности. Остудить, почистить. Нарезать кубиками.Колбасу нарезать кубиками. Яйца нарезать кубиками. Редис тонко нарезать. Огурцы нарезать кубиками. Зелень мелко нарезать.Смешать картофель, колбасу, яйца, редис, огурцы. Посолить, поперчить. Выложить в тарелки.Залить квасом, посыпать зеленью. Подавать охлажденной со сметаной.
